time_to_depletion,total_nectar_collected,time_to_first_nectar,success,idle_prob,follow_prob,rep,perc_scouts,sense_range,kappa_0,alpha,beta,w_dir
,42,,False,0.5,,0,,,1.0,,,
,49,,False,0.5,,1,,,1.0,,,
,41,,False,0.5,,2,,,1.0,,,
,48,,False,0.5,,3,,,1.0,,,
,54,,False,0.5,,4,,,1.0,,,
,41,,False,0.5,,0,,,5.0,,,
,45,,False,0.5,,1,,,5.0,,,
,40,,False,0.5,,2,,,5.0,,,
,41,,False,0.5,,3,,,5.0,,,
,41,,False,0.5,,4,,,5.0,,,
,43,,False,0.5,,0,,,10.0,,,
,40,,False,0.5,,2,,,10.0,,,
,49,,False,0.5,,3,,,10.0,,,
,41,,False,0.5,,1,,,10.0,,,
,45,,False,0.5,,4,,,10.0,,,
,31,,False,0.5,,0,,,20.0,,,
,46,,False,0.5,,1,,,20.0,,,
,50,,False,0.5,,2,,,20.0,,,
,38,,False,0.5,,3,,,20.0,,,
,52,,False,0.5,,4,,,20.0,,,
,41,,False,0.5,,0,,,50.0,,,
,45,,False,0.5,,1,,,50.0,,,
,42,,False,0.5,,2,,,50.0,,,
,45,,False,0.5,,3,,,50.0,,,
,45,,False,0.5,,4,,,50.0,,,
,43,,False,0.0,,0,,,,1.0,,
,46,,False,0.0,,1,,,,1.0,,
,44,,False,0.0,,2,,,,1.0,,
,41,,False,0.0,,3,,,,1.0,,
,34,,False,0.0,,4,,,,1.0,,
,47,,False,0.0,,0,,,,5.0,,
,40,,False,0.0,,1,,,,5.0,,
,42,,False,0.0,,2,,,,5.0,,
,37,,False,0.0,,3,,,,5.0,,
,44,,False,0.0,,4,,,,5.0,,
,45,,False,0.0,,0,,,,10.0,,
,44,,False,0.0,,1,,,,10.0,,
,57,,False,0.0,,2,,,,10.0,,
,53,,False,0.0,,3,,,,10.0,,
,48,,False,0.0,,4,,,,10.0,,
,43,,False,0.0,,0,,,,20.0,,
,54,,False,0.0,,1,,,,20.0,,
,46,,False,0.0,,2,,,,20.0,,
,43,,False,0.0,,3,,,,20.0,,
,43,,False,0.0,,4,,,,20.0,,
,47,,False,0.0,,0,,,,50.0,,
,39,,False,0.0,,1,,,,50.0,,
,44,,False,0.0,,2,,,,50.0,,
,40,,False,0.0,,3,,,,50.0,,
,37,,False,0.0,,4,,,,50.0,,
,47,,False,0.125,,0,,,,1.0,,
,47,,False,0.125,,1,,,,1.0,,
,37,,False,0.125,,2,,,,1.0,,
,45,,False,0.125,,3,,,,1.0,,
,46,,False,0.125,,4,,,,1.0,,
,39,,False,0.125,,0,,,,5.0,,
,41,,False,0.125,,1,,,,5.0,,
,45,,False,0.125,,2,,,,5.0,,
,52,,False,0.125,,3,,,,5.0,,
,43,,False,0.125,,4,,,,5.0,,
,45,,False,0.125,,0,,,,10.0,,
,44,,False,0.125,,1,,,,10.0,,
,40,,False,0.125,,2,,,,10.0,,
,50,,False,0.125,,3,,,,10.0,,
,45,,False,0.125,,4,,,,10.0,,
,52,,False,0.125,,0,,,,20.0,,
,48,,False,0.125,,1,,,,20.0,,
,53,,False,0.125,,2,,,,20.0,,
,45,,False,0.125,,3,,,,20.0,,
,45,,False,0.125,,4,,,,20.0,,
,43,,False,0.125,,0,,,,50.0,,
,44,,False,0.125,,1,,,,50.0,,
,39,,False,0.125,,2,,,,50.0,,
,38,,False,0.125,,4,,,,50.0,,
,41,,False,0.125,,3,,,,50.0,,
,58,,False,0.25,,0,,,,1.0,,
,49,,False,0.25,,1,,,,1.0,,
,36,,False,0.25,,2,,,,1.0,,
,32,,False,0.25,,3,,,,1.0,,
,36,,False,0.25,,4,,,,1.0,,
,46,,False,0.25,,0,,,,5.0,,
,40,,False,0.25,,1,,,,5.0,,
,44,,False,0.25,,2,,,,5.0,,
,52,,False,0.25,,4,,,,5.0,,
,42,,False,0.25,,3,,,,5.0,,
,47,,False,0.25,,0,,,,10.0,,
,34,,False,0.25,,1,,,,10.0,,
,43,,False,0.25,,2,,,,10.0,,
,49,,False,0.25,,3,,,,10.0,,
,48,,False,0.25,,4,,,,10.0,,
,44,,False,0.25,,0,,,,20.0,,
,47,,False,0.25,,1,,,,20.0,,
,38,,False,0.25,,2,,,,20.0,,
,53,,False,0.25,,3,,,,20.0,,
,39,,False,0.25,,4,,,,20.0,,
,38,,False,0.25,,0,,,,50.0,,
,45,,False,0.25,,1,,,,50.0,,
,50,,False,0.25,,2,,,,50.0,,
,45,,False,0.25,,3,,,,50.0,,
,59,,False,0.25,,4,,,,50.0,,
,36,,False,0.375,,0,,,,1.0,,
,50,,False,0.375,,1,,,,1.0,,
,42,,False,0.375,,2,,,,1.0,,
,42,,False,0.375,,3,,,,1.0,,
,44,,False,0.375,,4,,,,1.0,,
,44,,False,0.375,,0,,,,5.0,,
,46,,False,0.375,,1,,,,5.0,,
,50,,False,0.375,,2,,,,5.0,,
,47,,False,0.375,,3,,,,5.0,,
,39,,False,0.375,,4,,,,5.0,,
,53,,False,0.375,,0,,,,10.0,,
,45,,False,0.375,,1,,,,10.0,,
,49,,False,0.375,,2,,,,10.0,,
,40,,False,0.375,,3,,,,10.0,,
,47,,False,0.375,,4,,,,10.0,,
,50,,False,0.375,,0,,,,20.0,,
,37,,False,0.375,,1,,,,20.0,,
,48,,False,0.375,,2,,,,20.0,,
,42,,False,0.375,,3,,,,20.0,,
,43,,False,0.375,,4,,,,20.0,,
,40,,False,0.375,,0,,,,50.0,,
,53,,False,0.375,,2,,,,50.0,,
,53,,False,0.375,,1,,,,50.0,,
,44,,False,0.375,,3,,,,50.0,,
